,id,zpdf,mass,AGN or not
212,613023,0.859,10.808,0
213,596339,0.85,10.661,0
214,443852,0.862,10.629,0
215,507133,0.849,10.586,1
216,945269,0.853,10.805,1
217,847147,0.868,10.69,1
218,485148,0.869,10.576,1
219,500650,0.868,10.777,1
220,435423,0.858,10.612,1
221,440010,0.86,10.694,1
222,342090,0.854,11.024,0
223,627520,0.863,10.928,0
224,666311,0.848,10.832,1
225,601317,0.853,11.003,1
226,426798,0.869,11.117,0
227,930422,0.854,11.14,0
228,530841,0.861,11.236,1
229,942345,0.856,11.069,1
230,922130,0.889,9.92,0
231,622993,0.887,9.988,1
232,560030,0.88,10.311,0
233,610703,0.891,10.22,0
234,921446,0.881,10.177,1
235,754201,0.891,10.26,1
236,914962,0.88,10.579,0
237,804330,0.89,10.765,0
238,444480,0.887,10.8,0
239,817815,0.89,10.67,1
240,620318,0.894,10.619,1
241,317772,0.881,10.609,1
242,795779,0.891,10.995,0
243,420847,0.896,10.914,0
244,448160,0.89,10.943,0
245,753883,0.89,10.835,1
246,483955,0.872,10.917,1
247,654973,0.889,10.978,1
