,id,zpdf,mass,AGN or not
0,510152,0.277,9.586,0
1,561659,0.26,9.466,1
2,797081,0.31,9.429,0
3,526923,0.318,9.423,1
4,911899,0.319,10.039,0
5,605164,0.314,10.052,1
6,768111,0.323,10.553,0
7,417851,0.31,10.376,1
8,551328,0.33,10.575,0
9,904278,0.329,10.65,0
10,580295,0.33,10.768,0
11,527982,0.308,10.691,1
12,492719,0.31,10.786,1
13,461479,0.32,10.634,1
14,931801,0.329,10.983,0
15,914372,0.33,10.843,1
16,317720,0.337,10.697,0
17,624589,0.336,10.763,1
18,786830,0.339,11.343,0
19,652611,0.35,11.362,1
20,529855,0.379,10.384,0
21,875978,0.367,10.448,1
22,487826,0.371,11.013,0
23,826923,0.379,10.816,1
24,872872,0.411,10.074,0
25,556304,0.389,9.838,1
26,418640,0.42,9.724,0
27,906741,0.416,9.783,0
28,423483,0.44,9.759,1
29,604562,0.429,9.623,1
30,739711,0.431,9.864,0
31,793746,0.44,10.064,1
32,518166,0.43,10.108,0
33,595481,0.421,10.089,1
34,847062,0.428,10.353,0
35,428193,0.438,10.542,1
36,230785,0.429,10.626,0
37,796847,0.414,10.588,1
38,554361,0.45,10.94,0
39,442989,0.46,10.966,1
40,809167,0.44,11.348,0
41,938172,0.441,11.379,1
42,605055,0.481,11.088,0
43,816961,0.47,11.195,1
44,533239,0.5,10.492,0
45,964093,0.517,10.478,1
46,450055,0.52,10.656,0
47,501071,0.509,10.784,1
48,487555,0.532,9.569,0
49,477550,0.524,9.43,1
50,884940,0.543,9.835,0
51,787988,0.521,9.903,1
52,342587,0.539,10.285,0
53,920674,0.522,10.088,1
54,450904,0.523,10.453,0
55,516207,0.548,10.521,1
56,509765,0.542,11.19,0
57,915130,0.522,11.172,1
58,249669,0.57,9.573,0
59,317055,0.57,9.464,1
60,419317,0.57,9.914,0
61,335338,0.573,9.997,1
62,637663,0.558,10.783,0
63,805633,0.568,10.758,0
64,208053,0.564,10.602,1
65,598729,0.57,10.681,1
66,826212,0.596,10.48,0
67,906482,0.601,10.352,1
68,737604,0.59,10.823,0
69,784782,0.592,10.893,1
70,1001008,0.602,9.008,0
71,349658,0.626,9.069,1
72,900827,0.62,9.387,0
73,585394,0.602,9.584,1
74,837651,0.623,10.127,0
75,762537,0.628,10.107,1
76,428515,0.619,10.905,0
77,809597,0.615,11.006,1
78,810765,0.609,11.12,0
79,953345,0.607,11.203,1
80,856060,0.65,9.53,0
81,990935,0.634,9.426,1
82,803830,0.634,10.345,0
83,625621,0.634,10.519,1
84,316931,0.64,11.139,0
85,768966,0.651,11.092,0
86,401488,0.633,11.135,1
87,442150,0.642,11.13,1
88,812706,0.679,10.482,0
89,960767,0.67,10.448,1
90,729517,0.67,10.578,0
91,475972,0.681,10.672,0
92,215847,0.68,10.631,0
93,640623,0.66,10.768,0
94,761339,0.68,10.81,0
95,456823,0.67,10.801,1
96,889095,0.682,10.745,1
97,758968,0.68,10.646,1
98,249999,0.671,10.689,1
99,948286,0.67,10.714,1
100,905927,0.672,10.974,0
101,446464,0.66,10.846,0
102,942900,0.679,10.991,1
103,601096,0.679,10.951,1
104,880457,0.67,11.088,0
105,804324,0.68,11.232,0
106,425483,0.68,11.153,1
107,569767,0.67,11.113,1
108,400930,0.7,9.952,0
109,563771,0.696,9.928,1
110,890018,0.705,10.313,0
111,800486,0.689,10.29,0
112,878287,0.69,10.101,0
113,783483,0.694,10.08,1
114,611554,0.698,10.092,1
115,804294,0.691,10.29,1
116,309063,0.709,10.408,0
117,530967,0.709,10.399,0
118,936812,0.693,10.403,1
119,933541,0.691,10.339,1
120,547496,0.689,10.949,0
121,403300,0.703,10.96,0
122,806711,0.706,10.991,0
123,893322,0.692,10.902,1
124,904635,0.69,10.941,1
125,461923,0.684,10.914,1
126,423348,0.691,11.146,0
127,526294,0.692,11.062,1
128,948105,0.719,10.415,0
129,350404,0.735,10.336,1
130,605519,0.728,10.796,0
131,611879,0.71,10.646,0
132,833241,0.719,10.721,1
133,598560,0.729,10.652,1
134,936196,0.722,10.944,0
135,501652,0.735,10.914,0
136,1014093,0.716,11.052,1
137,600222,0.732,10.936,1
138,759837,0.711,11.298,0
139,505243,0.719,11.115,0
140,913282,0.732,11.142,1
141,245194,0.719,11.181,1
142,348646,0.713,11.379,0
143,801764,0.718,11.347,0
144,795331,0.73,11.419,1
145,249385,0.71,11.308,1
146,920814,0.741,9.316,0
147,595195,0.751,9.187,1
148,443428,0.753,10.491,0
149,336986,0.741,10.412,1
150,829342,0.761,10.804,0
151,336309,0.753,10.629,1
152,615692,0.76,10.921,0
153,870224,0.746,11.006,1
154,643256,0.762,11.092,0
155,907506,0.748,11.137,1
156,572704,0.78,10.756,0
157,573007,0.79,10.673,0
158,763207,0.767,10.72,0
159,452406,0.788,10.808,1
160,245300,0.777,10.711,1
161,965276,0.789,10.707,1
162,572088,0.781,11.196,0
163,962540,0.791,11.26,1
164,301078,0.805,10.621,0
165,547306,0.795,10.77,0
166,541830,0.796,10.745,0
167,633493,0.813,10.625,0
168,512522,0.811,10.627,1
169,904768,0.817,10.705,1
170,799433,0.801,10.653,1
171,490404,0.808,10.654,1
172,837822,0.8,10.88,0
173,486280,0.817,10.897,1
174,874308,0.799,11.252,0
175,935830,0.791,11.096,1
176,834892,0.83,9.647,0
177,446660,0.839,9.71,1
178,593404,0.83,10.072,0
179,767776,0.836,10.055,1
180,824019,0.842,10.155,0
181,456237,0.824,10.279,1
182,555646,0.835,10.341,0
183,447767,0.837,10.425,1
184,317570,0.832,10.706,0
185,577761,0.825,10.797,0
186,592458,0.84,10.664,1
187,471922,0.821,10.678,1
188,298256,0.836,10.912,0
189,840220,0.842,11.006,0
190,753422,0.844,11.023,0
191,456796,0.841,10.945,0
192,559540,0.845,10.906,1
193,547318,0.826,10.833,1
194,613069,0.835,11.039,1
195,493507,0.844,10.896,1
196,596188,0.837,11.06,0
197,466547,0.83,11.147,1
198,470509,0.844,11.334,0
199,489390,0.84,11.524,1
200,343337,0.857,9.253,0
201,213977,0.851,9.322,1
202,348345,0.845,9.505,0
203,450552,0.861,9.451,1
204,669348,0.847,10.42,0
205,930844,0.863,10.503,0
206,554513,0.851,10.415,1
207,805389,0.852,10.482,1
208,1011872,0.853,10.765,0
209,516335,0.85,10.62,0
210,511953,0.867,10.761,0
211,639158,0.848,10.746,0
212,613023,0.859,10.808,0
213,596339,0.85,10.661,0
214,443852,0.862,10.629,0
215,957837,0.861,10.658,1
216,469862,0.869,10.74,1
217,788226,0.852,10.706,1
218,499052,0.855,10.751,1
219,554132,0.861,10.63,1
220,458401,0.859,10.64,1
221,944698,0.857,10.718,1
222,342090,0.854,11.024,0
223,627520,0.863,10.928,0
224,763954,0.853,10.949,1
225,582421,0.856,10.944,1
226,426798,0.869,11.117,0
227,930422,0.854,11.14,0
228,530841,0.861,11.236,1
229,512320,0.87,11.283,1
230,922130,0.889,9.92,0
231,930191,0.888,9.97,1
232,560030,0.88,10.311,0
233,610703,0.891,10.22,0
234,597427,0.887,10.296,1
235,486080,0.881,10.3,1
236,914962,0.88,10.579,0
237,804330,0.89,10.765,0
238,444480,0.887,10.8,0
239,845751,0.894,10.641,1
240,608134,0.877,10.577,1
241,490066,0.882,10.601,1
242,795779,0.891,10.995,0
243,420847,0.896,10.914,0
244,448160,0.89,10.943,0
245,290965,0.899,10.923,1
246,640821,0.897,10.844,1
247,753883,0.89,10.835,1
