,id,zpdf,mass,AGN or not
0,510152,0.277,9.586,0
1,909893,0.272,9.42,1
2,797081,0.31,9.429,0
3,950251,0.332,9.411,1
4,911899,0.319,10.039,0
5,471741,0.311,9.959,1
6,768111,0.323,10.553,0
7,937944,0.311,10.332,1
8,551328,0.33,10.575,0
9,904278,0.329,10.65,0
10,580295,0.33,10.768,0
11,232804,0.312,10.778,1
12,498848,0.33,10.745,1
13,944383,0.329,10.696,1
14,931801,0.329,10.983,0
15,923235,0.32,10.818,1
16,317720,0.337,10.697,0
17,880947,0.349,10.703,1
18,786830,0.339,11.343,0
19,652611,0.35,11.362,1
20,529855,0.379,10.384,0
21,492525,0.37,10.457,1
22,487826,0.371,11.013,0
23,630576,0.38,10.829,1
24,872872,0.411,10.074,0
25,535662,0.41,10.069,1
26,418640,0.42,9.724,0
27,906741,0.416,9.783,0
28,759447,0.437,9.705,1
29,452469,0.415,9.613,1
30,739711,0.431,9.864,0
31,634858,0.427,9.839,1
32,518166,0.43,10.108,0
33,828285,0.43,10.157,1
34,847062,0.428,10.353,0
35,627319,0.425,10.493,1
36,230785,0.429,10.626,0
37,467534,0.43,10.723,1
38,554361,0.45,10.94,0
39,800545,0.441,10.829,1
40,809167,0.44,11.348,0
41,454361,0.446,11.463,1
42,605055,0.481,11.088,0
43,596558,0.485,11.082,1
44,533239,0.5,10.492,0
45,348352,0.521,10.559,1
46,450055,0.52,10.656,0
47,826135,0.511,10.761,1
48,487555,0.532,9.569,0
49,419275,0.525,9.391,1
50,884940,0.543,9.835,0
51,538910,0.533,9.95,1
52,342587,0.539,10.285,0
53,496096,0.526,10.213,1
54,450904,0.523,10.453,0
55,227087,0.533,10.414,1
56,509765,0.542,11.19,0
57,497791,0.53,11.075,1
58,249669,0.57,9.573,0
59,594584,0.552,9.479,1
60,419317,0.57,9.914,0
61,938755,0.555,9.883,1
62,637663,0.558,10.783,0
63,805633,0.568,10.758,0
64,820073,0.573,10.6,1
65,979875,0.566,10.622,1
66,826212,0.596,10.48,0
67,419118,0.601,10.472,1
68,737604,0.59,10.823,0
69,249006,0.582,11.014,1
70,1001008,0.602,9.008,0
71,829442,0.626,9.085,1
72,900827,0.62,9.387,0
73,646434,0.616,9.49,1
74,837651,0.623,10.127,0
75,447545,0.627,10.29,1
76,428515,0.619,10.905,0
77,911723,0.608,10.945,1
78,810765,0.609,11.12,0
79,942244,0.623,11.231,1
80,856060,0.65,9.53,0
81,208173,0.654,9.571,1
82,803830,0.634,10.345,0
83,625621,0.634,10.519,1
84,316931,0.64,11.139,0
85,768966,0.651,11.092,0
86,804406,0.652,11.18,1
87,452100,0.629,11.097,1
88,812706,0.679,10.482,0
89,486210,0.681,10.451,1
90,729517,0.67,10.578,0
91,475972,0.681,10.672,0
92,215847,0.68,10.631,0
93,640623,0.66,10.768,0
94,761339,0.68,10.81,0
95,528408,0.677,10.727,1
96,400841,0.673,10.776,1
97,948286,0.67,10.714,1
98,593926,0.672,10.679,1
99,531390,0.67,10.683,1
100,905927,0.672,10.974,0
101,446464,0.66,10.846,0
102,845631,0.674,10.989,1
103,810957,0.665,10.998,1
104,880457,0.67,11.088,0
105,804324,0.68,11.232,0
106,622853,0.67,11.133,1
107,453607,0.669,11.218,1
108,400930,0.7,9.952,0
109,929482,0.692,9.914,1
110,890018,0.705,10.313,0
111,800486,0.689,10.29,0
112,878287,0.69,10.101,0
113,936222,0.696,10.127,1
114,469336,0.694,10.285,1
115,926670,0.707,10.238,1
116,309063,0.709,10.408,0
117,530967,0.709,10.399,0
118,439398,0.702,10.525,1
119,499953,0.709,10.412,1
120,547496,0.689,10.949,0
121,403300,0.703,10.96,0
122,806711,0.706,10.991,0
123,978859,0.695,10.937,1
124,446560,0.69,10.846,1
125,817614,0.705,11.032,1
126,423348,0.691,11.146,0
127,854291,0.69,11.243,1
128,948105,0.719,10.415,0
129,350404,0.735,10.336,1
130,605519,0.728,10.796,0
131,611879,0.71,10.646,0
132,402222,0.72,10.582,1
133,876811,0.719,10.582,1
134,936196,0.722,10.944,0
135,501652,0.735,10.914,0
136,897140,0.717,10.924,1
137,815661,0.713,10.815,1
138,759837,0.711,11.298,0
139,505243,0.719,11.115,0
140,958315,0.724,11.168,1
141,929232,0.729,11.157,1
142,348646,0.713,11.379,0
143,801764,0.718,11.347,0
144,795331,0.73,11.419,1
145,597237,0.726,11.348,1
146,920814,0.741,9.316,0
147,736186,0.746,9.25,1
148,443428,0.753,10.491,0
149,786151,0.752,10.348,1
150,829342,0.761,10.804,0
151,224068,0.763,10.737,1
152,615692,0.76,10.921,0
153,991030,0.743,10.847,1
154,643256,0.762,11.092,0
155,446659,0.76,11.088,1
156,572704,0.78,10.756,0
157,573007,0.79,10.673,0
158,763207,0.767,10.72,0
159,452406,0.788,10.808,1
160,401646,0.78,10.619,1
161,425092,0.78,10.602,1
162,572088,0.781,11.196,0
163,849225,0.771,11.176,1
164,301078,0.805,10.621,0
165,547306,0.795,10.77,0
166,541830,0.796,10.745,0
167,633493,0.813,10.625,0
168,491274,0.815,10.665,1
169,426913,0.795,10.717,1
170,909302,0.798,10.694,1
171,964122,0.794,10.753,1
172,837822,0.8,10.88,0
173,481900,0.815,10.886,1
174,874308,0.799,11.252,0
175,962540,0.791,11.26,1
176,834892,0.83,9.647,0
177,555375,0.827,9.688,1
178,593404,0.83,10.072,0
179,607829,0.845,10.001,1
180,824019,0.842,10.155,0
181,416986,0.83,10.304,1
182,555646,0.835,10.341,0
183,445081,0.84,10.544,1
184,317570,0.832,10.706,0
185,577761,0.825,10.797,0
186,779542,0.839,10.637,1
187,494213,0.828,10.606,1
188,298256,0.836,10.912,0
189,840220,0.842,11.006,0
190,753422,0.844,11.023,0
191,456796,0.841,10.945,0
192,599017,0.828,10.952,1
193,487507,0.836,10.816,1
194,505420,0.841,10.842,1
195,600320,0.833,10.908,1
196,596188,0.837,11.06,0
197,486689,0.838,11.189,1
198,470509,0.844,11.334,0
199,595730,0.83,11.361,1
200,343337,0.857,9.253,0
201,925483,0.868,9.23,1
202,348345,0.845,9.505,0
203,293646,0.859,9.479,1
204,669348,0.847,10.42,0
205,930844,0.863,10.503,0
206,803505,0.863,10.449,1
207,582127,0.848,10.528,1
208,1011872,0.853,10.765,0
209,516335,0.85,10.62,0
210,511953,0.867,10.761,0
211,639158,0.848,10.746,0
212,613023,0.859,10.808,0
213,596339,0.85,10.661,0
214,443852,0.862,10.629,0
215,451191,0.85,10.658,1
216,793752,0.858,10.672,1
217,1004060,0.857,10.795,1
218,992225,0.859,10.608,1
219,796201,0.865,10.75,1
220,957838,0.872,10.796,1
221,1009782,0.855,10.729,1
222,342090,0.854,11.024,0
223,627520,0.863,10.928,0
224,620471,0.847,11.03,1
225,825080,0.852,10.892,1
226,426798,0.869,11.117,0
227,930422,0.854,11.14,0
228,418429,0.86,11.14,1
229,547997,0.872,11.196,1
230,922130,0.889,9.92,0
231,777085,0.893,10.026,1
232,560030,0.88,10.311,0
233,610703,0.891,10.22,0
234,609701,0.878,10.306,1
235,790803,0.892,10.298,1
236,914962,0.88,10.579,0
237,804330,0.89,10.765,0
238,444480,0.887,10.8,0
239,767905,0.895,10.794,1
240,817815,0.89,10.67,1
241,608134,0.877,10.577,1
242,795779,0.891,10.995,0
243,420847,0.896,10.914,0
244,448160,0.89,10.943,0
245,654973,0.889,10.978,1
246,852985,0.876,10.872,1
247,899129,0.887,10.855,1
