,id,zpdf,mass,AGN or not
0,510152,0.277,9.586,0
1,782540,0.273,9.53,1
2,797081,0.31,9.429,0
3,926380,0.33,9.464,1
4,911899,0.319,10.039,0
5,443373,0.32,10.043,1
6,768111,0.323,10.553,0
7,903522,0.31,10.466,1
8,551328,0.33,10.575,0
9,904278,0.329,10.65,0
10,580295,0.33,10.768,0
11,549832,0.33,10.579,1
12,460253,0.33,10.645,1
13,420588,0.317,10.672,1
14,931801,0.329,10.983,0
15,935535,0.33,10.824,1
16,317720,0.337,10.697,0
17,961641,0.34,10.596,1
18,786830,0.339,11.343,0
19,779250,0.34,11.396,1
20,529855,0.379,10.384,0
21,942347,0.367,10.465,1
22,487826,0.371,11.013,0
23,597220,0.378,10.877,1
24,872872,0.411,10.074,0
25,497137,0.389,9.861,1
26,418640,0.42,9.724,0
27,906741,0.416,9.783,0
28,763486,0.431,9.813,1
29,487734,0.431,9.735,1
30,739711,0.431,9.864,0
31,207782,0.437,9.986,1
32,518166,0.43,10.108,0
33,485792,0.44,10.113,1
34,847062,0.428,10.353,0
35,448432,0.44,10.392,1
36,230785,0.429,10.626,0
37,586222,0.44,10.605,1
38,554361,0.45,10.94,0
39,953456,0.46,11.003,1
40,809167,0.44,11.348,0
41,639706,0.46,11.32,1
42,605055,0.481,11.088,0
43,893899,0.491,11.107,1
44,533239,0.5,10.492,0
45,477974,0.498,10.372,1
46,450055,0.52,10.656,0
47,902574,0.502,10.723,1
48,487555,0.532,9.569,0
49,669417,0.547,9.466,1
50,884940,0.543,9.835,0
51,457433,0.522,9.933,1
52,342587,0.539,10.285,0
53,611873,0.539,10.22,1
54,450904,0.523,10.453,0
55,243350,0.53,10.47,1
56,509765,0.542,11.19,0
57,915130,0.522,11.172,1
58,249669,0.57,9.573,0
59,553219,0.561,9.488,1
60,419317,0.57,9.914,0
61,499479,0.571,9.866,1
62,637663,0.558,10.783,0
63,805633,0.568,10.758,0
64,609717,0.564,10.613,1
65,197133,0.575,10.674,1
66,826212,0.596,10.48,0
67,633373,0.585,10.524,1
68,737604,0.59,10.823,0
69,798604,0.601,10.88,1
70,1001008,0.602,9.008,0
71,613441,0.619,9.062,1
72,900827,0.62,9.387,0
73,944590,0.604,9.399,1
74,837651,0.623,10.127,0
75,898559,0.606,10.188,1
76,428515,0.619,10.905,0
77,542621,0.607,10.962,1
78,810765,0.609,11.12,0
79,762634,0.608,11.26,1
80,856060,0.65,9.53,0
81,796030,0.639,9.347,1
82,803830,0.634,10.345,0
83,818535,0.651,10.458,1
84,316931,0.64,11.139,0
85,768966,0.651,11.092,0
86,401488,0.633,11.135,1
87,335028,0.651,11.131,1
88,812706,0.679,10.482,0
89,619361,0.677,10.351,1
90,729517,0.67,10.578,0
91,475972,0.681,10.672,0
92,215847,0.68,10.631,0
93,640623,0.66,10.768,0
94,761339,0.68,10.81,0
95,881048,0.667,10.797,1
96,845578,0.679,10.608,1
97,655690,0.678,10.667,1
98,626330,0.66,10.595,1
99,593926,0.672,10.679,1
100,905927,0.672,10.974,0
101,446464,0.66,10.846,0
102,636048,0.672,10.951,1
103,516762,0.67,10.868,1
104,880457,0.67,11.088,0
105,804324,0.68,11.232,0
106,506739,0.676,11.103,1
107,758409,0.67,11.23,1
108,400930,0.7,9.952,0
109,486523,0.7,9.944,1
110,890018,0.705,10.313,0
111,800486,0.689,10.29,0
112,878287,0.69,10.101,0
113,910331,0.693,10.205,1
114,890728,0.708,10.217,1
115,945351,0.695,10.312,1
116,309063,0.709,10.408,0
