,id,zpdf,mass
244,423262,0.843,10.659
245,298256,0.836,10.912
246,840220,0.842,11.006
247,753422,0.844,11.023
248,456796,0.841,10.945
249,599017,0.828,10.952
250,551099,0.831,10.839
251,501230,0.836,10.825
252,596188,0.837,11.06
253,446068,0.831,11.182
254,470509,0.844,11.334
255,506309,0.83,11.353
256,343337,0.857,9.253
257,734027,0.849,9.307
258,942193,0.868,9.284
259,925483,0.868,9.23
260,613630,0.868,9.291
261,493651,0.864,9.232
262,401498,0.87,9.378
263,348345,0.845,9.505
264,466300,0.86,9.429
265,904651,0.865,9.476
266,425222,0.853,9.437
267,806855,0.87,9.592
268,624057,0.859,9.517
269,669348,0.847,10.42
270,930844,0.863,10.503
271,964273,0.861,10.589
272,519677,0.865,10.386
273,897356,0.855,10.412
274,582127,0.848,10.528
275,878374,0.85,10.423
276,803505,0.863,10.449
277,1011872,0.853,10.765
278,516335,0.85,10.62
279,511953,0.867,10.761
280,639158,0.848,10.746
281,613023,0.859,10.808
282,596339,0.85,10.661
283,443852,0.862,10.629
284,507956,0.851,10.798
285,801260,0.861,10.713
286,342090,0.854,11.024
287,627520,0.863,10.928
288,899815,0.85,10.989
289,514202,0.864,11.039
290,886156,0.854,10.933
291,515836,0.856,10.86
292,599600,0.868,10.917
293,426798,0.869,11.117
294,930422,0.854,11.14
295,468189,0.86,11.183
296,922130,0.889,9.92
297,508463,0.895,10.044
298,550266,0.889,9.931
299,619452,0.899,10.107
300,501560,0.899,9.921
301,560030,0.88,10.311
302,610703,0.891,10.22
303,850921,0.899,10.342
304,940844,0.883,10.213
305,602585,0.888,10.248
306,416438,0.892,10.22
307,914962,0.88,10.579
308,820902,0.873,10.376
309,832341,0.876,10.553
310,550912,0.881,10.489
311,804330,0.89,10.765
312,444480,0.887,10.8
313,620318,0.894,10.619
314,806485,0.882,10.624
315,795779,0.891,10.995
316,420847,0.896,10.914
317,448160,0.89,10.943
318,1014632,0.873,10.902
319,792396,0.885,10.891
