,id,zpdf,mass,AGN or not
0,510152,0.277,9.586,0
1,497074,0.26,9.398,1
2,797081,0.31,9.429,0
3,520063,0.319,9.462,1
4,911899,0.319,10.039,0
5,903765,0.332,9.842,1
6,768111,0.323,10.553,0
7,468009,0.321,10.345,1
8,551328,0.33,10.575,0
9,904278,0.329,10.65,0
10,580295,0.33,10.768,0
11,504417,0.331,10.671,1
12,232804,0.312,10.778,1
13,756497,0.31,10.676,1
14,931801,0.329,10.983,0
15,422894,0.33,10.928,1
16,317720,0.337,10.697,0
17,877844,0.342,10.625,1
18,786830,0.339,11.343,0
19,931300,0.35,11.523,1
20,529855,0.379,10.384,0
21,436924,0.365,10.553,1
22,487826,0.371,11.013,0
23,443863,0.378,10.867,1
24,872872,0.411,10.074,0
25,342608,0.39,9.842,1
26,418640,0.42,9.724,0
27,906741,0.416,9.783,0
28,593700,0.421,9.614,1
29,423834,0.435,9.65,1
30,739711,0.431,9.864,0
31,215778,0.422,9.971,1
32,518166,0.43,10.108,0
33,929142,0.424,10.141,1
34,847062,0.428,10.353,0
35,833632,0.42,10.453,1
36,230785,0.429,10.626,0
37,317405,0.44,10.73,1
38,554361,0.45,10.94,0
39,538603,0.459,10.924,1
40,809167,0.44,11.348,0
41,639706,0.46,11.32,1
42,605055,0.481,11.088,0
43,951428,0.477,11.202,1
44,533239,0.5,10.492,0
45,244220,0.515,10.345,1
46,450055,0.52,10.656,0
47,937800,0.521,10.602,1
48,487555,0.532,9.569,0
49,989614,0.548,9.368,1
50,884940,0.543,9.835,0
51,309215,0.528,9.968,1
52,342587,0.539,10.285,0
53,557183,0.53,10.29,1
54,450904,0.523,10.453,0
55,629681,0.542,10.364,1
56,509765,0.542,11.19,0
57,529051,0.53,11.113,1
58,249669,0.57,9.573,0
59,530086,0.548,9.347,1
60,419317,0.57,9.914,0
61,784237,0.574,10.011,1
62,637663,0.558,10.783,0
63,805633,0.568,10.758,0
64,335988,0.56,10.604,1
65,652109,0.57,10.606,1
66,826212,0.596,10.48,0
67,472517,0.592,10.417,1
68,737604,0.59,10.823,0
69,446048,0.587,10.875,1
70,1001008,0.602,9.008,0
71,755279,0.614,8.893,1
72,900827,0.62,9.387,0
73,840419,0.605,9.471,1
74,837651,0.623,10.127,0
75,988441,0.605,10.111,1
76,428515,0.619,10.905,0
77,954771,0.611,10.858,1
78,810765,0.609,11.12,0
79,605545,0.614,11.102,1
80,856060,0.65,9.53,0
81,555381,0.655,9.521,1
82,803830,0.634,10.345,0
83,335450,0.652,10.536,1
84,316931,0.64,11.139,0
85,768966,0.651,11.092,0
86,726457,0.64,11.158,1
87,804406,0.652,11.18,1
88,812706,0.679,10.482,0
89,943966,0.679,10.451,1
90,729517,0.67,10.578,0
91,475972,0.681,10.672,0
92,215847,0.68,10.631,0
93,640623,0.66,10.768,0
94,761339,0.68,10.81,0
95,802625,0.681,10.587,1
96,433125,0.661,10.619,1
97,881048,0.667,10.797,1
98,341093,0.68,10.672,1
99,541256,0.657,10.582,1
100,905927,0.672,10.974,0
101,446464,0.66,10.846,0
102,807070,0.678,10.986,1
103,317782,0.669,10.873,1
104,880457,0.67,11.088,0
105,804324,0.68,11.232,0
106,569767,0.67,11.113,1
107,425483,0.68,11.153,1
108,400930,0.7,9.952,0
109,804942,0.686,10.052,1
110,890018,0.705,10.313,0
111,800486,0.689,10.29,0
112,878287,0.69,10.101,0
113,955047,0.694,10.251,1
114,833998,0.688,10.171,1
115,953195,0.701,10.231,1
116,309063,0.709,10.408,0
117,530967,0.709,10.399,0
118,933541,0.691,10.339,1
119,1003258,0.692,10.553,1
120,547496,0.689,10.949,0
121,403300,0.703,10.96,0
122,806711,0.706,10.991,0
123,904635,0.69,10.941,1
124,471946,0.692,10.989,1
125,757215,0.69,11.029,1
126,423348,0.691,11.146,0
127,854291,0.69,11.243,1
128,948105,0.719,10.415,0
129,767782,0.711,10.362,1
130,605519,0.728,10.796,0
131,611879,0.71,10.646,0
132,470264,0.712,10.692,1
133,826054,0.723,10.665,1
134,936196,0.722,10.944,0
135,501652,0.735,10.914,0
136,448555,0.719,10.825,1
137,788683,0.724,10.912,1
138,759837,0.711,11.298,0
139,505243,0.719,11.115,0
140,666893,0.731,11.111,1
141,795495,0.719,11.179,1
142,348646,0.713,11.379,0
143,801764,0.718,11.347,0
144,249385,0.71,11.308,1
145,540013,0.733,11.394,1
146,920814,0.741,9.316,0
147,597055,0.74,9.121,1
148,443428,0.753,10.491,0
149,914364,0.752,10.467,1
150,829342,0.761,10.804,0
151,930374,0.74,10.7,1
152,615692,0.76,10.921,0
153,946663,0.752,10.83,1
154,643256,0.762,11.092,0
155,754186,0.76,11.172,1
156,572704,0.78,10.756,0
157,573007,0.79,10.673,0
158,763207,0.767,10.72,0
159,755172,0.772,10.6,1
160,500955,0.779,10.601,1
161,795383,0.785,10.808,1
162,572088,0.781,11.196,0
163,849225,0.771,11.176,1
164,301078,0.805,10.621,0
165,547306,0.795,10.77,0
166,541830,0.796,10.745,0
167,633493,0.813,10.625,0
168,944113,0.797,10.658,1
169,808299,0.799,10.727,1
170,964288,0.793,10.569,1
171,467625,0.814,10.791,1
172,837822,0.8,10.88,0
173,550223,0.792,10.812,1
174,874308,0.799,11.252,0
175,548944,0.811,11.126,1
176,834892,0.83,9.647,0
177,471356,0.836,9.744,1
178,593404,0.83,10.072,0
179,573804,0.832,9.986,1
180,824019,0.842,10.155,0
181,557674,0.83,10.119,1
182,555646,0.835,10.341,0
183,512824,0.829,10.44,1
184,317570,0.832,10.706,0
185,577761,0.825,10.797,0
186,489594,0.833,10.591,1
187,496942,0.827,10.726,1
188,298256,0.836,10.912,0
189,840220,0.842,11.006,0
190,753422,0.844,11.023,0
191,456796,0.841,10.945,0
192,608837,0.823,11.044,1
193,468017,0.832,10.996,1
194,505420,0.841,10.842,1
195,541850,0.841,10.902,1
196,596188,0.837,11.06,0
197,423775,0.821,11.182,1
198,470509,0.844,11.334,0
199,595730,0.83,11.361,1
200,343337,0.857,9.253,0
201,350220,0.864,9.254,1
202,348345,0.845,9.505,0
203,890739,0.864,9.523,1
204,669348,0.847,10.42,0
205,930844,0.863,10.503,0
